expression,type,n_weeks,n_patients,min,median,itr/sec,mem_alloc,gc/sec,n_itr,n_gc,total_time
dplyr,reg,10,10,  6.51ms,  6.84ms,144.96047640365555, 440.07KB,10.91100360027515,93,7,641.55ms
data_table,reg,10,10,  5.18ms,  5.32ms,187.43127129103866,  83.73KB,11.963698167513105,94,6,501.52ms
mlr3fda,reg,10,10, 10.75ms, 11.12ms,89.99628433380038,   1.21MB,11.123136265975326,89,11,988.93ms
dplyr,irreg,10,10,  4.64ms,  4.81ms,207.0668619867972,  27.7KB,10.784732395145687,96,5,463.62ms
data_table,irreg,10,10,  3.25ms,  3.35ms,297.78221753861044,  70.58KB,10.635079197807515,140,5,470.14ms
mlr3fda,irreg,10,10, 10.02ms, 10.34ms,96.38026595017136,   1.2MB,10.70891843890793,90,10,933.8ms
dplyr,reg,50,10,  6.8ms,  6.97ms,142.69515119079944, 271.39KB,10.740495250920388,93,7,651.74ms
data_table,reg,50,10,  5.3ms,  5.46ms,183.47209760414225, 222.6KB,11.710984953455888,94,6,512.34ms
mlr3fda,reg,50,10, 10.98ms, 11.32ms,87.90194629205469,   1.38MB,10.864285496770805,89,11,  1.01s
dplyr,irreg,50,10,  6.81ms,  7.03ms,141.16225664394761, 271.39KB,10.625116091479928,93,7,658.82ms
data_table,irreg,50,10,  5.32ms,  5.48ms,181.5267558963734, 222.6KB,11.586814206151494,94,6,517.83ms
mlr3fda,irreg,50,10, 12.48ms, 12.8ms,77.6941561067688,   1.47MB,10.594657650923018,88,12,  1.13s
dplyr,reg,100,10,  6.96ms,  7.21ms,133.85140061473828, 663.37KB,10.074836605410407,93,7,694.8ms
data_table,reg,100,10,  5.42ms,  5.59ms,175.53358347517235, 497.69KB,11.204271285649298,94,6,535.51ms
mlr3fda,reg,100,10, 11.13ms, 11.51ms,86.31436512526575,   1.79MB,10.668067599751948,89,11,  1.03s
dplyr,irreg,100,10,  6.92ms,  7.14ms,138.31117040364686, 663.37KB,10.410518202425031,93,7,672.4ms
data_table,irreg,100,10,  5.36ms,  5.53ms,180.52570297640523, 497.69KB,11.522917211259907,94,6,520.7ms
mlr3fda,irreg,100,10, 12.57ms, 12.85ms,77.61325160966244,   1.79MB,10.583625219499423,88,12,  1.13s
dplyr,reg,10,100, 52.05ms, 52.92ms,18.826219433769623, 367.5KB,29.44613808871659,39,61,  2.07s
data_table,reg,10,100, 48.87ms, 50.08ms,19.96977454826139, 160.89KB,27.577307709503827,42,58,  2.1s
mlr3fda,reg,10,100, 63.98ms, 64.89ms,15.394834827063123,   1.51MB,34.265922679592116,31,69,  2.01s
dplyr,irreg,10,100, 33.06ms, 33.68ms,29.698458179743724, 193.11KB,18.20228081984293,62,38,  2.09s
data_table,irreg,10,100, 30.29ms, 30.91ms,32.34378540978282, 119.38KB,18.193379293002835,64,36,  1.98s
mlr3fda,irreg,10,100, 56.32ms, 56.88ms,17.533958184682593,   1.53MB,24.213561302656913,42,58,  2.4s
dplyr,reg,50,100, 53.3ms, 54.42ms,18.236719344878953,   2.56MB,28.524099488144003,39,61,  2.14s
data_table,reg,50,100, 50.55ms, 51.18ms,19.458030266683394,   1.6MB,26.870613225419927,42,58,  2.16s
mlr3fda,reg,50,100, 65.36ms, 66ms,15.137642596984067,   3.27MB,33.69346255457744,31,69,  2.05s
dplyr,irreg,50,100, 54.21ms, 55.03ms,18.030739110741642,   2.56MB,29.41857433857847,38,62,  2.11s
data_table,irreg,50,100, 50.4ms, 51.38ms,19.23156771940813,   1.59MB,26.557879231563607,42,58,  2.18s
mlr3fda,irreg,50,100, 78.84ms, 79.66ms,12.550202239513046,   3.54MB,61.27451681644605,17,83,  1.35s
dplyr,reg,100,100, 54.42ms, 55.12ms,18.086625022441677,   6.13MB,32.15400003989632,36,64,  1.99s
data_table,reg,100,100, 52.06ms, 53.26ms,18.74019629161078,   4.27MB,29.31158907149378,39,61,  2.08s
mlr3fda,reg,100,100, 66.36ms, 66.72ms,14.894707199640811,   6.94MB,34.75431679916189,30,70,  2.01s
dplyr,irreg,100,100, 54.33ms, 57.81ms,17.382446068472323,   6.13MB,30.902126343950798,36,64,  2.07s
data_table,irreg,100,100, 51.64ms, 52.06ms,18.931515560205387,   4.27MB,28.397273340308082,40,60,  2.11s
mlr3fda,irreg,100,100, 78.8ms, 79.49ms,12.544947428045047,   7.45MB,71.0880354255886,15,85,  1.2s
dplyr,reg,10,1000,506.05ms,522.26ms,1.8872771973795213,   3.15MB,12.097446835202732,100,641, 52.99s
data_table,reg,10,1000,495.67ms,501.55ms,1.958711538387934,1015.19KB,11.732682114943726,100,599, 51.05s
mlr3fda,reg,10,1000,613.86ms,635.65ms,1.543737180285571,  24.86MB,10.68266128757615,100,692,  1.08m
dplyr,irreg,10,1000,352.7ms,364.16ms,2.700694786420899,   1.91MB,12.072105695301419,100,447, 37.03s
data_table,irreg,10,1000,341.71ms,346.29ms,2.840594290924929, 629.9KB,11.902090078975453,100,419, 35.2s
mlr3fda,irreg,10,1000,572.31ms,599.14ms,1.6537363565505878,  24.96MB,10.798898408275338,100,653,  1.01m
dplyr,reg,50,1000,520.04ms,537.65ms,1.8200025957679629,  22.95MB,12.539817884841264,100,689, 54.95s
data_table,reg,50,1000,509.23ms,516.82ms,1.9016096754748302,  15.39MB,12.151285826284164,100,639, 52.59s
mlr3fda,reg,50,1000,623.37ms,648.89ms,1.5231657195744932,  42.37MB,11.256194667655505,100,739,  1.09m
dplyr,irreg,50,1000,520.78ms,538.54ms,1.8129414334395368,  22.89MB,13.669578408134107,100,754, 55.16s
data_table,irreg,50,1000,508.18ms,516.96ms,1.8870329513712347,  15.35MB,13.09600868251637,100,694, 52.99s
mlr3fda,irreg,50,1000,757.37ms,796.12ms,1.2288781303450786,  45.12MB,12.215048615630081,100,994,  1.36m
dplyr,reg,100,1000,531.45ms,556.02ms,1.7471612507753704,  57.85MB,6.761514040500684,100,387, 57.24s
data_table,reg,100,1000,519.47ms,532.22ms,1.8448664866267463,  42.15MB,6.696865346455089,100,363, 54.2s
mlr3fda,reg,100,1000,644.17ms,662.18ms,1.4896338135613012,  79.08MB,6.226669340686239,100,418,  1.12m
dplyr,irreg,100,1000,522.89ms,555.24ms,1.7558733397419821,  57.85MB,7.444902960506004,100,424, 56.95s
data_table,irreg,100,1000,512.66ms,528.77ms,1.8506956693513643,  42.15MB,7.421289634098971,100,401, 54.03s
mlr3fda,irreg,100,1000,771.69ms,810.14ms,1.2148334318068126,  84.16MB,6.790918883800082,100,559,  1.37m
